Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
4446.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4467.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4476.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4499.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4509.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4530.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4541.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4562.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4582.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4592.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4614.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4626.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4646.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4667.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4677.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4698.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4708.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4729.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4751.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4761.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4780.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4793.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4812.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4833.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4844.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4864.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4876.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4897.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
